,Framework,Lat_Var_Sum_X,Lat_Var_Sum_Y,Lat_Var_Max_X,Lat_Var_Max_Y,Lat_Var_Avg_X,Lat_Var_Avg_Y
99,CDO,-6.471421718597412,-2.1601157188415527,1.5616590976715088,2.0849108695983887,-0.17976170778274536,-0.060003213584423065
100,CGF,-6.280482769012451,-1.7165374755859375,1.5766198635101318,2.0587685108184814,-0.174457848072052,-0.047681596130132675
101,CHA,-6.492630958557129,-3.05428409576416,1.5691636800765991,2.0155506134033203,-0.18035085499286652,-0.08484122157096863
102,EAB,-6.677062034606934,-2.520413875579834,1.543336033821106,1.9824249744415283,-0.1854739487171173,-0.07001149654388428
103,ERI,-6.3996901512146,-2.2781002521514893,1.561445951461792,1.9810881614685059,-0.17776916921138763,-0.06328056007623672
104,FER,-6.541255950927734,-1.856042742729187,1.5547927618026733,2.1374311447143555,-0.18170155584812164,-0.05155674368143082
105,HEU,-6.422956466674805,-1.9643093347549438,1.5666589736938477,2.0383453369140625,-0.1784154623746872,-0.05456414818763733
106,LIO,-6.255382061004639,-1.9844863414764404,1.5862754583358765,2.0754637718200684,-0.17376060783863068,-0.05512462183833122
107,LTL,-6.317151069641113,-2.3658323287963867,1.5767523050308228,2.007812261581421,-0.17547641694545746,-0.06571756303310394
108,MAZ,-6.106249809265137,-2.0434584617614746,1.5793111324310303,2.026695728302002,-0.16961805522441864,-0.05676273629069328
109,MFS,-6.393853664398193,-1.8121284246444702,1.5722737312316895,2.011911153793335,-0.17760704457759857,-0.05033690109848976
110,NPT,-5.7843523025512695,-1.4612877368927002,1.6041923761367798,2.1330463886260986,-0.16067644953727722,-0.04059132561087608
111,PUN,-5.948395252227783,-1.6845203638076782,1.5980195999145508,2.053891181945801,-0.16523319482803345,-0.04679223150014877
112,RSN,-6.129978179931641,-1.6769930124282837,1.5638091564178467,2.0567424297332764,-0.1702771782875061,-0.0465831384062767
113,RUT,-6.534762382507324,-2.095026731491089,1.5484230518341064,1.9937093257904053,-0.18152117729187012,-0.05819518864154816
114,SZR,-6.470693588256836,-2.424283027648926,1.566066026687622,2.0204150676727295,-0.1797414869070053,-0.06734119355678558
115,VFI,-6.519136428833008,-2.5668585300445557,1.555503010749817,1.9844098091125488,-0.18108712136745453,-0.07130162417888641
116,VSV,-6.08447790145874,-1.882627010345459,1.5900229215621948,2.0946145057678223,-0.16901327669620514,-0.05229519307613373
117,AEL,-12.95311164855957,-4.923614501953125,1.000300407409668,2.090204954147339,-0.3238278031349182,-0.12309036403894424
118,AFO,-12.17629623413086,-5.056149482727051,1.0342005491256714,2.0798985958099365,-0.30440741777420044,-0.12640373408794403
119,AST,-12.221309661865234,-5.987587928771973,1.053351640701294,2.0087497234344482,-0.3055327534675598,-0.1496897041797638
120,PWW,-12.795356750488281,-5.423467636108398,1.0270304679870605,2.052673816680908,-0.31988391280174255,-0.1355866938829422
121,SOF,-12.934280395507812,-5.4661455154418945,1.0157146453857422,2.0409183502197266,-0.3233570158481598,-0.13665363192558289
122,UOZ,-12.692537307739258,-5.403661251068115,1.0226486921310425,2.025554656982422,-0.31731343269348145,-0.13509152829647064
123,USI,-12.665398597717285,-5.3346991539001465,1.0599045753479004,2.0658576488494873,-0.3166349530220032,-0.13336747884750366
124,AVL,-7.177069664001465,-12.221978187561035,1.4993743896484375,1.6976627111434937,-0.17088261246681213,-0.29099947214126587
